Date,NVDA,GOOGL,META,AAPL,AMZN,MSFT,TSLA
2024-01-26,60.99701690673828,151.04872131347656,391.40594482421875,190.4415740966797,159.1199951171875,397.0896301269531,183.25
2024-01-29,62.43021774291992,152.35879516601562,398.2381896972656,189.75868225097656,161.25999450683594,402.7815856933594,190.92999267578125
2024-01-30,62.739044189453125,150.32420349121094,397.28485107421875,186.10662841796875,159.0,401.6706848144531,191.58999633789062
2024-01-31,61.492740631103516,139.04937744140625,387.4336853027344,182.50405883789062,155.1999969482422,390.84716796875,187.2899932861328
2024-02-01,62.99190902709961,140.10145568847656,392.04144287109375,184.93875122070312,159.27999877929688,396.942138671875,188.86000061035156
2024-02-02,66.12316131591797,141.3123016357422,471.695068359375,183.9391326904297,171.80999755859375,404.25616455078125,187.91000366210938
2024-02-05,69.29339599609375,142.60252380371094,456.22314453125,185.7502899169922,170.30999755859375,398.780517578125,181.05999755859375
2024-02-06,68.18501281738281,143.01939392089844,451.565673828125,187.35369873046875,169.14999389648438,398.6231689453125,185.10000610351562
2024-02-07,70.0599594116211,144.4485626220703,466.33251953125,187.46253967285156,170.52999877929688,407.0382080078125,187.5800018310547
2024-02-08,69.60221099853516,144.8158416748047,466.7396545410156,186.38372802734375,169.83999633789062,407.09722900390625,189.55999755859375
2024-02-09,72.09284973144531,147.8826446533203,464.8627624511719,187.14682006835938,174.4499969482422,413.4281311035156,193.57000732421875
2024-02-12,72.20777130126953,146.42364501953125,465.64727783203125,185.46212768554688,172.33999633789062,408.2277526855469,188.1300048828125
2024-02-13,72.08784484863281,144.0515899658203,456.92822265625,183.37115478515625,168.63999938964844,399.43914794921875,184.02000427246094
2024-02-14,73.85885620117188,144.8455810546875,469.9969177246094,182.48919677734375,170.97999572753906,403.2998962402344,188.7100067138672
2024-02-15,72.61753845214844,141.69937133789062,480.67236328125,182.20179748535156,169.8000030517578,400.4141540527344,200.4499969482422
2024-02-16,72.57257080078125,139.4662322998047,470.0367126464844,180.66578674316406,169.50999450683594,397.95196533203125,199.9499969482422
2024-02-20,69.413330078125,140.0617218017578,468.4775085449219,179.92254638671875,167.0800018310547,396.701171875,193.75999450683594
2024-02-21,67.43444061279297,141.4810028076172,465.2764892578125,180.67568969726562,168.58999633789062,396.1003723144531,194.77000427246094
2024-02-22,78.4942626953125,143.00946044921875,483.2699890136719,182.7072296142578,174.5800018310547,405.4272155761719,197.41000366210938
2024-02-23,78.77312469482422,142.88043212890625,481.182373046875,180.87388610839844,174.99000549316406,404.13702392578125,191.97000122070312
2024-02-26,79.0479736328125,136.53836059570312,478.90582275390625,179.5261688232422,174.72999572753906,401.3793640136719,199.39999389648438
2024-02-27,78.65718078613281,137.83851623535156,484.1845397949219,180.98291015625,173.5399932861328,401.3202819824219,199.72999572753906
2024-02-28,77.61976623535156,135.35728454589844,481.17236328125,179.78382873535156,173.16000366210938,401.556640625,202.0399932861328
2024-02-29,79.06794738769531,137.4217071533203,487.2464599609375,179.11984252929688,176.75999450683594,407.3871765136719,201.8800048828125
2024-03-01,82.2331771850586,136.111572265625,499.3448486328125,178.03968811035156,178.22000122070312,409.2190246582031,202.63999938964844
2024-03-04,85.18953704833984,132.35000610351562,495.259033203125,173.5208282470703,177.5800018310547,408.6477966308594,188.13999938964844
2024-03-05,85.920166015625,131.6750946044922,487.3359069824219,168.58570861816406,174.1199951171875,396.5632629394531,180.74000549316406
2024-03-06,88.65476989746094,130.4146270751953,493.17138671875,167.59474182128906,173.50999450683594,396.0117492675781,176.5399932861328
2024-03-07,92.62173461914062,133.3722686767578,509.1766662597656,167.475830078125,176.82000732421875,402.9551696777344,178.64999389648438
2024-03-08,87.48336791992188,134.39454650878906,502.973388671875,169.19021606445312,175.35000610351562,400.07928466796875,175.33999633789062
2024-03-11,85.73026275634766,136.63760375976562,480.7449035644531,171.19203186035156,171.9600067138672,398.40496826171875,177.77000427246094
2024-03-12,91.86613464355469,137.4613800048828,496.8099060058594,171.66769409179688,175.38999938964844,409.0023193359375,177.5399932861328
2024-03-13,90.84165954589844,138.74168395996094,492.65447998046875,169.58663940429688,176.55999755859375,408.8250732421875,169.47999572753906
2024-03-14,87.89915466308594,142.0269012451172,488.93646240234375,171.4397735595703,178.75,418.7920837402344,162.5
2024-03-15,87.79220581054688,140.1212615966797,481.2519226074219,171.0631866455078,174.4199981689453,410.1251220703125,163.57000732421875
2024-03-18,88.40989685058594,146.57252502441406,494.05615234375,172.15325927734375,174.47999572753906,411.0115051269531,173.8000030517578
2024-03-19,89.3524169921875,145.92742919921875,493.32049560546875,174.4919891357422,175.89999389648438,415.0397033691406,171.32000732421875
2024-03-20,90.32592010498047,147.62460327148438,502.5458984375,177.05862426757812,178.14999389648438,418.80194091796875,175.66000366210938
2024-03-21,91.38837432861328,146.49313354492188,504.7727966308594,169.824462890625,178.14999389648438,422.8793640136719,172.82000732421875
2024-03-22,94.24091339111328,149.63938903808594,506.5820617675781,170.7262420654297,178.8699951171875,422.25885009765625,170.8300018310547
2024-03-25,94.95354461669922,148.9446258544922,500.0606384277344,169.30914306640625,179.7100067138672,416.4676818847656,172.6300048828125
2024-03-26,92.51380157470703,149.5401153564453,492.97259521484375,168.17941284179688,178.3000030517578,415.2760009765625,177.6699981689453
2024-03-27,90.20397186279297,149.73861694335938,490.9544982910156,171.74696350097656,179.8300018310547,415.05938720703125,179.8300018310547
2024-03-28,90.30992126464844,149.79815673828125,482.72320556640625,169.93344116210938,180.3800048828125,414.360107421875,175.7899932861328
2024-04-01,90.3169174194336,154.323974609375,488.4592590332031,168.4965362548828,180.97000122070312,418.15191650390625,175.22000122070312
2024-04-02,89.40638732910156,153.4009552001953,494.44390869140625,167.31727600097656,180.69000244140625,415.0692443847656,166.6300048828125
2024-04-03,88.91863250732422,153.7582550048828,503.75872802734375,168.1199493408203,182.41000366210938,414.09423828125,168.3800048828125
2024-04-04,85.86119079589844,149.40118408203125,507.9141540527344,167.2974395751953,180.0,411.5630798339844,171.11000061035156
2024-04-05,87.963134765625,151.3563995361328,524.2374877929688,168.0505828857422,185.07000732421875,419.0875549316406,164.89999389648438
2024-04-08,87.08856201171875,153.68878173828125,516.1951293945312,166.93080139160156,185.19000244140625,418.1716003417969,172.97999572753906
2024-04-09,85.31045532226562,155.4256591796875,513.8589477539062,168.13980102539062,185.6699981689453,419.8360900878906,176.8800048828125
2024-04-10,86.99461364746094,154.96908569335938,516.7717895507812,166.26681518554688,185.9499969482422,416.86175537109375,171.75999450683594
2024-04-11,90.56978607177734,158.21458435058594,520.0820922851562,173.4613494873047,189.0500030517578,421.46112060546875,174.60000610351562
2024-04-12,88.14103698730469,156.54714965820312,508.888427734375,174.95773315429688,186.1300048828125,415.5222473144531,171.0500030517578
2024-04-15,85.95714569091797,153.69869995117188,497.2870788574219,171.13255310058594,183.6199951171875,407.3871765136719,161.47999572753906
2024-04-16,87.37042236328125,153.2421417236328,496.8197937011719,167.8524169921875,183.32000732421875,408.3128967285156,157.11000061035156
